Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Houses Damaged,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
778,NA,NA,NA,NA,NA,NA,NA,ITALY:  TREVISO,45.4,12.2,NA,5.6,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
780,NA,NA,NA,NA,0,NA,NA,SOUTH KOREA:  KYONGJU,35.5,129.1,NA,6.3,8,100,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
788,3,8,NA,NA,NA,NA,NA,"CHINA:  SHAANXI PROVINCE:  ANKANG, FANGXIAN",32.5,109.4,NA,6.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
793,4,30,NA,NA,0,NA,NA,ITALY:  VERONA,45.5,11,NA,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
814,4,2,NA,NA,NA,NA,NA,CHINA:  SICHUAN PROVINCE:  XICHANG,27.9,102.2,NA,7,NA,101,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA
818,5,15,NA,NA,NA,NA,NA,AFGHANISTAN,36.8,66.2,50,7.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
818,5,15,NA,NA,NA,NA,NA, INDIA:  HINDU-KUSH,36.8,66.2,50,7.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
818,5,15,NA,NA,NA,NA,NA, KAZAHKSTAN:  BALKHA,36.8,66.2,50,7.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
818,8,NA,NA,NA,NA,66,NA,JAPAN:  TOKKAIDO,35.2,139.3,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
850,11,27,NA,NA,NA,69,NA,"JAPAN:  YOMAGATA, SHONAI",39,139.9,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
851,NA,NA,NA,NA,NA,NA,NA,ARMENIA:  DVIN,40,44.6,10,5.2,8,12000,NA,NA,NA,NA,NA,12000,NA,NA,NA,NA,NA
856,1,NA,NA,NA,NA,NA,NA,ARMENIA:  DVIN,40,44.6,10,4.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
856,12,22,NA,NA,NA,NA,NA,"IRAN:  DAMGHAN, QUMIS",36.2,54.3,NA,7.9,10,200000,NA,NA,NA,NA,NA,200000,NA,NA,NA,NA,NA
858,1,NA,NA,NA,NA,NA,NA,TURKEY,40,44.6,10,5.2,NA,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
858,1,NA,NA,NA,NA,NA,NA, ARMENIA:  DVINA,40,44.6,10,5.2,NA,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
863,4,NA,NA,NA,NA,NA,NA,TURKEY,40,44.6,10,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
863,4,NA,NA,NA,NA,NA,NA, ARMENIA:  DVINA,40,44.6,10,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
863,7,10,NA,NA,NA,72,NA,"JAPAN: NAOETSU, NIIGATA PREFECTURE",37.1,138,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
869,7,13,NA,NA,NA,74,NA,JAPAN:  SANRIKU,38.5,143.8,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
871,11,18,NA,NA,NA,NA,NA,IRAN:  SAIMAREH,33.2,47.2,NA,6.8,7,20000,NA,NA,NA,NA,NA,20000,NA,NA,NA,NA,NA
876,7,14,NA,NA,NA,NA,NA,CHINA:  NINGXIA: QINGTONGXIA,37.8,105.9,NA,6.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
881,5,26,NA,NA,NA,4282,NA,SPAIN,36,-8,NA,7.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
881,5,26,NA,NA,NA,4282,NA, ALGERIA,36,-8,NA,7.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
881,5,26,NA,NA,NA,4282,NA, MOROCCO,36,-8,NA,7.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,8,2,NA,NA,NA,76,NA,JAPAN:  HONSHU:  NIIGATA,37.5,138.1,NA,6.5,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA
