Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Houses Damaged,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged
1971,6,16,14,44,22.5,NA,NA,"INDONESIA:  JAVA:  BUARAN,BANTAR KAWSUN,JIPANG",-7.2,109.1,35,5.2,NA,1,NA,6,NA,NA,1377,1,NA,6,NA,NA,1377
1971,6,17,21,NA,40.9,NA,NA,"CHILE:  CATALINA, ANTOFAGASTA",-25.5,-69.2,93,6.3,5,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1971,7,9,3,3,18.7,2033,NA,CHILE:  CENTRAL,-32.5,-71.2,58,7.8,9,83,NA,447,236.4,NA,NA,83,NA,447,236.4,NA,NA
1971,7,14,6,11,29.1,2034,NA,PAPUA NEW GUINEA:  NEW IRELAND: BOUGAINVILLE,-5.5,153.9,47,7.9,9,2,NA,5,NA,NA,NA,3,NA,5,NA,NA,NA
1971,7,15,1,33,22.3,NA,NA,ITALY:  PARMA,44.8,10.3,7,5.2,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
1971,7,26,1,23,21.3,2035,NA,PAPUA NEW GUINEA:  BISMARCK SEA  RABAUL,-4.9,153.2,48,7.9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,7,27,2,2,49.6,NA,NA,PERU-ECUADOR:  GUAYAQUIL,-2.7,-77.4,135,6.3,7,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1971,8,2,7,24,56.8,2036,NA,JAPAN TRENCH,41.4,143.5,51,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,8,9,2,54,36.7,NA,NA,IRAN:  BABOL-KENAR,36.3,52.7,27,5.3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1971,8,16,4,58,0.3,NA,NA,CHINA:  SICHUAN PROVINCE:  MABIAN,28.9,103.7,NA,5.9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,8,26,6,55,8.7,NA,NA,IRAN:  BABA KELU,30,50.7,45,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,9,5,18,35,25,2431,NA,"RUSSIA:  SAKHALIN, MONERON ISLAND",46.5,141.2,9,7.1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,9,6,13,37,10.8,2430,NA,RUSSIA:  KHOLMSK,46.7,141.4,29,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,9,8,11,48,23.4,2038,NA,RUSSIA:  TATAR STRAIT,46.4,141.2,6,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,9,8,16,59,52.6,2039,NA,RUSSIA:  TATAR STRAIT,46.3,140.9,16,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,9,25,4,36,14,2040,NA,PAPUA NEW GUINEA:  BISMARCK SEA,-6.5,146.6,115,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,9,27,19,1,45.3,2041,NA,"RUSSIA:  SAKHALIN, MONERON ISLAND",46.4,141.1,21,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,10,15,10,33,46.7,NA,NA,PERU:  APURIMAC,-14.1,-73.3,54,5.7,9,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
1971,10,27,17,58,36.9,NA,NA,"VANUATU ISLANDS:  ESPIRITU SANTO, PORT VILA",-15.5,167.2,40,7.1,7,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1971,11,6,22,0,0.1,2042,NA,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.5,179.1,2,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,11,24,19,35,29.1,NA,NA,"RUSSIA:  OFF KAMCHATKA, SHEMYA",52.9,159.2,106,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,12,15,8,29,55.3,2044,NA,"RUSSIA:  OFF KAMCHATKA, SHEMYA, ATTU",56,163.3,33,7.8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,1,4,3,16,54.5,NA,NA,TAIWAN,22.6,122.1,33,7.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,1,25,2,6,23.3,2045,NA,TAIWAN,22.5,122.3,33,7.5,6,1,NA,NA,NA,5,NA,1,NA,NA,NA,5,NA
1972,1,25,3,41,23.7,NA,NA,TAIWAN,23,122.2,33,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,2,4,2,42,18.9,NA,NA,"ITALY:  CENTRAL, ANCONA",43.8,13.3,25,4.8,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,2,10,6,49,15.9,NA,NA,"IRAN:  DEH KOHNEH,SA'DABAD,BORAZJAN",29.7,50.9,21,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,2,29,9,22,59.8,2046,NA,"JAPAN:  S OF HONSHU:  HACHIJOJIMA, TOKYO",33.3,140.8,56,7.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,3,20,7,33,49.6,NA,NA,PERU:  JUANJUI,-6.8,-76.8,64,6.1,9,7,NA,50,20,NA,NA,NA,NA,NA,NA,NA,NA
1972,4,10,2,6,51.9,NA,NA,"IRAN:  QIR,KARZIN, JAHROM, FIRUZABAD",28.415,52.765,11,6.6,9,5374,NA,1710,NA,NA,NA,5374,NA,1710,NA,NA,NA
1972,4,24,9,57,21.7,NA,NA,TAIWAN:  HUALIEN,23.6,121.6,33,6.9,5,4,NA,11,NA,NA,NA,4,NA,11,NA,NA,NA
1972,4,25,19,30,9.3,NA,NA,"PHILIPPINES:  MINDORO, LUZON, MANILA",13.4,120.3,50,7.2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,6,8,18,53,41.7,2048,NA,CHILE:  CENTRAL,-30.5,-71.8,39,6.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,6,11,16,41,0.9,NA,NA,INDONESIA:  CELEBES SEA,3.9,124.3,325,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,6,21,15,6,53.3,NA,NA,ITALY:  ANCONA,43.8,13.3,4,4.4,NA,2,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA
1972,6,24,15,29,22.2,NA,NA,"AFGHANISTAN:  HINDU KUSH:  SARSANGI, NARIN COUNTIES",36.2,69.7,47,6.1,6,11,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,7,2,12,56,6.7,NA,NA,"IRAN:  MISHAN-E-MARKAZI,TALKHAB,MISHAN SOFLA",30.1,50.8,31,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,7,30,21,45,14.1,2049,NA,"ALASKA:  SITKA, JUNEAU",56.82,-135.68,25,7.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,8,17,23,44,5.9,2051,NA,W. SOLOMON SEA,-6,152.9,10,7.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,9,3,16,48,28.8,NA,NA,"PAKISTAN:  TANGIR, GUPIS, RAWALPINDI, PESHAWAR",36,73.4,36,6.2,NA,100,NA,NA,NA,1000,1000,NA,NA,NA,NA,NA,NA
1972,9,7,22,26,57.9,NA,NA,"FRANCE:  LABOIRIE, ARCEAU, SAINT-PIERRE D'OLERON",46,-1.1,33,5.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,9,13,4,13,20.5,NA,NA,"GREECE:  CORINTHIA, ARCADIA",37.9,22.4,83,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,9,17,14,7,15.6,NA,NA,"GREECE: LIXOURI, CHAVRIATA, DAMOULIANATA,KOUVALATA",38.3,20.3,33,6.3,7,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA
1972,11,2,19,55,22.1,NA,NA,"NEW CALEDONIA:  LOYALTY ISLANDS:  TANNA, ANATOM",-20,168.8,32,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,12,2,0,19,47.2,2055,NA,"PHILIPPINES:  MINDANAO, DAVAO",6.5,126.6,73,7.4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,12,4,10,16,12,2056,NA,"JAPAN:  S OF HONSHU, HACHIJOJIMA",33.3,140.7,66,7.4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,12,23,6,29,42.5,NA,NA,NICARAGUA:  MANAGUA,12.4,-86.1,5,6.2,NA,10000,NA,20000,2968,NA,NA,10000,NA,20000,2968,NA,NA
1972,12,29,4,51,1.6,2057,NA,CHILE:  CENTRAL,-30.6,-71,60,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,1,30,21,1,12.5,2058,NA,"MEXICO:  S, FARIAS, TECOMAN",18.48,-103,43,7.5,NA,56,NA,390,NA,NA,NA,56,NA,390,NA,NA,NA
1973,2,6,10,37,10.1,NA,NA,CHINA:  SICHUAN PROVINCE,31.4,100.58,33,7.6,10,NA,NA,NA,NA,168,NA,NA,NA,NA,NA,168,NA
1973,2,21,14,42,23.4,NA,NA,NEW ZEALAND:  HAWKES BAY,-39.58,176.57,38,5.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,2,21,14,45,57.3,NA,NA,CALIFORNIA:  OXNARD,34.1,-119,8,5.7,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1973,2,24,0,2,41,NA,NA,"IRAN:  KHABIS,HENGAM ISLAND",28.58,52.62,27,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,2,28,6,37,49.5,2059,NA,"RUSSIA:  KURIL ISLANDS, HIROO, URAKAWA",50.5,156.6,27,7.2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,3,9,19,9,12.8,NA,NA,"AUSTRALIA:  WOLLONGONG, SYDNEY",-34.13,150.27,13,5.5,5,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
1973,3,17,8,30,51.8,3226,NA,"PHILIPPINES:  QUEZON CITY:  CALAUG,LOPEZ,GUIAYANGAN",13.4,122.8,33,7.5,9,15,NA,64,0.45,NA,NA,15,NA,64,0.45,NA,NA
1973,4,1,7,12,37,NA,NA,ETHIOPIA:  DJIBOUTI,11.66,43.03,31,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,4,14,8,34,0.1,NA,NA,"COSTA RICA: TILARAN, ARENAL, RIO CHIQUITO",10.679,-84.759,33,6.5,NA,26,NA,100,0.2,NA,NA,26,NA,100,0.2,NA,NA
1973,4,24,21,30,9.9,NA,NA,COLOMBIA,4.956,-78.144,50,6.5,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1973,4,24,21,30,9.9,NA,NA," SAN CRISTOBAL, VENEZUELA",4.956,-78.144,50,6.5,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1973,4,26,20,26,28.6,NA,NA,HAWAII: HILO,19.936,-155.098,48,6.5,8,NA,NA,11,5.75,NA,NA,NA,NA,11,5.75,NA,NA
1973,6,17,3,55,2.9,2060,NA,JAPAN:  HOKKAIDO ISLAND,43.2,145.8,48,7.7,8,NA,NA,27,5,2,NA,27,NA,NA,5,2,NA
1973,6,24,2,43,25.5,2061,NA,RUSSIA:  KURIL ISLANDS,43.3,146.4,50,7.1,8,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
1973,6,26,22,32,0.2,3506,NA,RUSSIA:  KURIL ISLANDS,43.2,146.6,50,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,7,14,4,51,21,NA,NA,CHINA:  TIBET (XIZANG PROVINCE),35.18,86.48,33,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,8,18,22,38,29,NA,NA,ITALY:  SICILY,37.66,15.167,NA,3.5,6,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
1973,8,28,9,50,40,NA,NA,"MEXICO:  VERACRUZ, MEXICO CITY",18.27,-96.6,84,6.2,7,600,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,NA
1973,10,5,5,47,51.1,2062,NA,"CHILE:  VALPARAISO, LA LIGUA, SANTIAGO",-32.5,-71.5,14,6.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,10,6,15,7,37.3,NA,NA,ANTARCTICA,-60.82,-21.55,33,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,11,4,15,52,11.7,NA,NA,"GREECE:  LEUKAS ISLAND, PREVEZA, VONITSA",38.9,20.44,8,5.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,11,11,7,14,53.1,NA,NA,"IRAN:  QESHLAGH,DEH BID",30.589,53.058,11,5.8,7,1,NA,NA,NA,NA,500,1,NA,NA,NA,NA,500
1973,11,23,13,36,19.3,NA,NA,"AZORES:  PICO, FAIAL, TERCEIRA",38.46,-28.31,5,5.1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,11,29,10,57,42.7,NA,NA,"GREECE:  CRETE, PALAEOCHORA, CHANIA",35.18,23.8,26,5.6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,12,28,13,41,45.8,NA,NA,"VANUATU ISLANDS:  ESPIRITU SANTO, LUGANILLE",-14.46,166.6,26,7.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,12,29,0,19,31.1,NA,NA,"VANUATU ISLANDS:  LUGANVILLE, LAMAP",-15.12,166.9,47,7.2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,1,5,8,33,50.7,NA,NA,"PERU:  LIMA, YAUYOS",-12.3,-76.35,98,6.3,NA,10,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA
1974,1,31,23,30,5.3,2063,NA,SOLOMON ISLANDS,-7.5,155.9,34,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,2,1,0,1,2.4,NA,NA,TURKEY:  IZMIR,38.6,27,29,5.2,NA,2,NA,20,NA,NA,NA,2,NA,20,NA,NA,NA
1974,2,1,3,12,33.1,2064,NA,SOLOMON ISLANDS,-7.4,155.6,40,7.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,4,18,1,19,22.6,NA,NA,"COLOMBIA:  NE, CEPITA, SAN ANDREAS",6.89,-72.93,24,5,NA,4,NA,10,NA,NA,120,4,NA,10,NA,NA,120
1974,4,22,0,29,19.8,NA,NA,CHINA:  JIANGSU PROVINCE,31.6,119.2,16,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,5,8,23,33,25.2,2065,NA,JAPAN:  NAKAGI,34.5,138.7,2,6.5,9,30,NA,102,NA,134,NA,27,NA,102,NA,134,NA
1974,5,10,19,25,15,NA,NA,"CHINA:  YUNNAN AND SICHUAN PROVINCES, CHAO-T'UNG",28.24,104.01,11,7.1,NA,20000,NA,NA,NA,NA,NA,20000,NA,NA,NA,NA,NA
1974,6,12,16,25,47.6,NA,NA,VENEZUELA,10.56,-63.38,34,6.1,7,5,NA,NA,2.5,NA,NA,5,NA,NA,2.5,NA,NA
1974,6,20,17,8,27.3,NA,NA,BALKANS NW:  SLOVENIA:  KOZJANSKO,44.97,15.53,7,4.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,7,1,16,51,54,NA,NA,ARGENTINA:  LOS TOLDOS,-22.124,-64.638,18,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,7,4,19,30,42.1,NA,NA,MONGOLIA,45.14,94.03,33,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,7,13,1,18,22.8,NA,NA,"COLOMBIA: BOGOTA, CALI, PEREIRA",7.75,-77.69,12,7.3,NA,11,NA,NA,NA,50,NA,11,NA,NA,NA,50,NA
1974,8,3,18,16,34,NA,NA,"JAPAN:  HONSHU:  KAKIOTA,  MITO, TOKYO",36,139.82,58,5.7,6,2,NA,17,NA,NA,NA,2,NA,17,NA,NA,NA
1974,8,18,10,44,12.8,2066,NA,"CHILE:  LA UNION, VALDIVIA",-38.5,-73.4,36,7.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,9,23,19,28,17.2,NA,NA,GABON,-0.28,12.92,33,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,9,27,5,47,29.4,2067,NA,RUSSIA:  KURIL-JAPAN:  HOKKAIDO,43.2,146.7,43,6.7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,10,3,14,21,29.1,2068,NA,"PERU:  LIMA, CALLAO",-12.27,-77.79,13,8.1,9,78,NA,2414,10,NA,NA,78,NA,2414,10,NA,NA
1974,10,8,9,50,58.1,NA,NA,ANTIGUA AND BARBUDA,17.3,-62,47,7.5,8,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA
1974,10,8,9,50,58.1,NA,NA, ST KITTS,17.3,-62,47,7.5,8,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA
1974,12,2,9,5,44.2,NA,NA,"IRAN:  SARCHAHAN,SAADATABAD,GAHKOM,SIRUIYEH",28,55.8,36,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,12,28,12,11,43.7,2071,NA,"PAKISTAN:  BALAKOT, PATAN",35.1,72.9,22,6.2,7,5300,NA,17000,3.255,NA,NA,5300,NA,17000,3.255,NA,NA
1975,1,9,23,9,46.6,NA,NA,RUSSIA:  DAGESTAN,42.89,46.99,31,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,1,15,9,42,24,2072,NA,INDONESIA:  MALUKU:  BANDANAIRA,-5,130,NA,5.9,7,NA,NA,NA,NA,81,6,NA,NA,NA,NA,81,6
1975,1,19,8,2,2.5,NA,NA,INDIA:  KASHMIR:   KINNAUR DISTRICT,32.46,78.43,33,6.8,NA,47,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA
1975,1,23,14,19,14.9,NA,NA,JAPAN:  AROSAN,33,131.1,10,5.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,2,2,8,43,39.1,NA,NA,ALASKA:  ALEUTIAN ISLANDS:  NEAR ISLANDS,53.11,173.5,10,7.6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,2,4,11,36,7.5,NA,NA,"CHINA:  LIAONING PROVINCE:  YINGTAO, ANSHAN",40.64,122.58,33,7.4,10,300,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA
1975,2,9,4,45,24.5,NA,NA,INDONESIA:  JAVA,-6.7,106.7,27,5.6,8,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1975,3,7,7,4,42.6,NA,NA,"IRAN:  SARKHUN,QALEH QAZI,QADHAD,NONG-E-BALA",27.5,56.26,27,6.1,7,7,NA,200,NA,NA,NA,7,NA,200,NA,NA,NA
1975,3,13,15,26,42.5,2074,NA,"CHILE:  COQUIMBO, LA SERENA",-29.9,-71.3,4,6.9,8,2,NA,25,NA,NA,NA,2,NA,25,NA,NA,NA
1975,3,27,5,15,6.2,NA,NA,TURKEY:  W,40.42,26.14,5,6.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,3,27,5,15,6.2,NA,NA," CANAKKALE, ECEABAT, GELIBOLU, LAPSEKI",40.42,26.14,5,6.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,3,28,2,31,5.7,NA,NA,IDAHO:  POCATELLO VALLEY,42.06,-112.55,5,6,8,NA,NA,1,1,NA,520,NA,NA,1,1,NA,520
1975,4,5,9,34,36.6,NA,NA,VENEZUELA,10.04,-69.75,33,6.1,NA,3,NA,20,1.2,NA,NA,3,NA,20,1.2,NA,NA
1975,4,20,17,35,50.4,NA,NA,"JAPAN:  OITA, AROSAN",33.19,131.3,7,6.1,6,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,5,10,14,27,38.7,NA,NA,CHILE:  CENTRAL,-38.18,-73.23,6,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,5,26,9,11,51.1,2567,NA,ATLANTIC OCEAN:  MADERIA ISLANDS,35.962,-17.576,33,7.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,6,10,13,47,14.5,2075,NA,RUSSIA:  KURIL-JAPAN:  HOKKAIDO,43.024,147.734,15,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,7,8,12,4,42.4,NA,NA,MYANMAR (BURMA):  PAGAN,21.49,94.7,157,6.5,NA,1,NA,1,0.5,NA,NA,1,NA,1,0.5,NA,NA
1975,7,11,7,18,46.6,NA,NA,ALGERIA:  DJEBEL BABOR,36.32,5.241,30,4.3,NA,1,NA,18,NA,NA,NA,1,NA,18,NA,NA,NA
1975,7,20,14,37,39.9,2076,NA,PAPUA NEW GUINEA:  BISMARCK SEA: BOUGAINVILLE,-6.59,155.054,49,7.9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,7,20,19,54,27.7,NA,NA,"PAPUA NEW GUINEA:  SOLOMON ISLANDS: BUIN, BOKU",-7.104,155.152,44,7.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,8,1,20,20,12.9,NA,NA,CALIFORNIA:  OROVILLE,39.439,-121.528,15,5.6,8,NA,NA,10,3,NA,NA,NA,NA,10,3,NA,NA
1975,9,6,9,20,10.9,NA,NA,TURKEY:  LICE,38.474,40.723,26,6.7,9,2311,NA,3372,17,NA,NA,2311,NA,3372,NA,NA,NA
1975,9,21,14,16,36.8,NA,NA,"IRAN:  SARPIR,DORAHAN,DEH BAGH",31.549,51.062,33,5.5,7,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
1975,10,11,14,35,15,NA,NA,TONGA ISLANDS:  S OF TONGA,-24.894,-175.119,9,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,10,31,8,28,2.6,2079,NA,PHILIPPINES,12.54,125.993,50,7.6,6,1,NA,NA,NA,NA,NA,1,NA,NA,NA,30,NA
1975,11,1,1,17,33.9,NA,NA,GUAM,13.843,144.754,113,6.1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,11,29,14,47,40.9,2080,3407,HAWAII,19.451,-155.033,2,7.7,9,NA,NA,NA,4,NA,NA,2,NA,NA,4,NA,NA
1975,12,16,21,1,39,5661,NA,FIJI ISLANDS,-18.672,178.464,33,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,12,26,15,56,38.7,2081,NA,SAMOA ISLANDS,-16.265,-172.467,33,7.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,12,31,9,45,47.7,NA,NA,GREECE:  KATO-MAKRINOU,38.628,21.798,19,5.5,9,1,NA,10,NA,NA,NA,1,NA,10,NA,NA,NA
1976,1,13,13,29,19.5,NA,NA,ICELAND:  KOPASKER,66.16,-16.58,33,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,1,14,15,56,34.9,NA,NA,KERMADEC ISLANDS,-29.208,-177.886,69,7.8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,1,14,16,47,33.5,2083,NA,KERMADEC ISLANDS,-28.427,-177.657,33,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,1,21,10,5,24.1,2084,NA,RUSSIA:  KURIL ISLANDS,44.915,149.123,41,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,2,4,9,1,43.4,2085,NA,"GUATEMALA:  CHIMALTENANGO, GUATEMALA CITY",15.324,-89.101,5,7.5,9,23000,NA,76000,2147,255000,NA,23000,NA,76000,2147,255000,NA
1976,3,13,16,30,41.5,NA,NA,GUATEMALA,14.767,-91.061,5,5.1,NA,4,NA,50,NA,NA,NA,4,NA,50,NA,NA,NA
1976,3,19,13,3,38.4,NA,NA,AFGHANISTAN:  HINDU-KUSH:  SHAMAGAN PROVINCE,36.61,67.79,33,5.5,8,49,NA,59,NA,1137,559,49,NA,59,NA,1137,559
1976,3,25,11,55,39.4,NA,NA,TURKEY,41.13,43.01,18,4.8,NA,2,NA,6,NA,NA,NA,2,NA,6,NA,NA,NA
1976,4,8,2,40,27,NA,NA,UZBEKISTAN:  GAZLI,40.31,63.77,33,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,4,9,7,8,47,NA,NA,ECUADOR:  ESMERALDOS,0.78,-79.8,9,6.7,NA,10,NA,NA,4,NA,NA,10,NA,NA,4,NA,NA
1976,4,29,22,18,9.1,NA,NA,TURKEY,40.89,42.85,44,5.5,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
1976,5,6,20,0,11.6,NA,NA,"ITALY:  NE, BALKANS NW:   SLOVENIA: NW",46.356,13.275,9,6.5,10,978,NA,1700,3600,NA,NA,978,NA,1700,3600,NA,NA
1976,5,17,2,58,40.6,NA,NA,"UZBEKISTAN:  GAZLI, BUKHARA",40.38,63.47,10,7,10,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA
1976,5,29,12,23,18.7,NA,NA,CHINA:  YUNNAN PROVINCE:  LUNGLING-LUSHI,24.57,98.953,8,7.3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,5,29,14,0,18.5,NA,NA,CHINA:  YUNNAN PROVINCE:  LUNGLING-LUSHI,24.531,98.71,10,7.4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,6,7,14,26,39.1,NA,NA,MEXICO:  MEXICO CITY,17.4,-100.64,45,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,6,25,19,18,56.9,NA,NA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-4.603,140.091,33,7.1,NA,6000,NA,NA,NA,NA,NA,6000,NA,NA,NA,NA,NA
1976,7,11,16,54,31.8,5669,NA,PANAMA: DARIEN,7.4,-78.1,22,6.7,NA,5,NA,7,NA,NA,NA,5,NA,7,NA,NA,NA
1976,7,14,7,13,24,NA,NA,INDONESIA:  BALI,-8.17,114.888,40,6.5,NA,573,NA,4755,195,NA,NA,573,NA,4755,195,NA,NA
