Location Name,Year,Mo,Dy,Latitude,Longitude,Total Deaths,Mag
"MEXICO: OAXACA, CHIAPAS, TABASCO; GUATEMALA",2017,9,8,15.022,-93.899,98,8.2
"MEXICO: MEXICO CITY, MORELOS, PUEBLA",2017,9,19,18.55,-98.489,369,7.1
MEXICO:  OAXACA,2017,9,23,16.626,-95.078,5,6.1
MEXICO:  OAXACA,2018,2,16,16.386,-97.979,14,7.2
MEXICO:  CHIAPAS; GUATEMALA:  SAN MARCOS,2019,2,1,14.68,-92.453,NA,6.7
MEXICO: OAXACA,2020,6,23,16.029,-95.901,10,7.4
MEXICO:  GUERRERO,2021,9,8,16.982,-99.773,3,7
MEXICO:  OAXACA,2022,5,25,16.325,-95.856,NA,5.5
"MEXICO:  MICHOACAN, COLIMA, JALISCO",2022,9,19,18.367,-103.252,2,7.6
"MEXICO: MEXICO CITY, MICHOACAN",2022,9,22,18.308,-102.923,3,6.8
